Archivo de Log inicializado: 2016-04-12.11:09:25

2016-04-12.11:09:25 || Starting...
2016-04-12.11:12:33 || doReading | ERROR reading from socket
2016-04-12.11:12:37 || doReading | ERROR reading from socket
2016-04-12.11:18:14 || doReading | ERROR reading from socket
2016-04-12.11:19:53 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.11:19:53 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: 1
2016-04-12.11:19:53 || validate_message | Validating Integer
2016-04-12.11:19:53 || doWriting | Received queue message: 1
2016-04-12.11:19:53 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.11:19:53 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: hola mundo
2016-04-12.11:19:53 || validate_message | Validating String
2016-04-12.11:19:53 || doWriting | Received queue message: hola mundo
2016-04-12.11:19:53 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.11:19:53 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: 1
2016-04-12.11:19:53 || validate_message | Validating Integer
2016-04-12.11:19:53 || doWriting | Received queue message: 1
2016-04-12.11:19:53 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.11:19:53 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: hola mundo
2016-04-12.11:19:53 || validate_message | Validating String
2016-04-12.11:19:53 || doWriting | Received queue message: hola mundo
2016-04-12.11:19:53 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.11:19:53 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: 1
2016-04-12.11:19:53 || validate_message | Validating Integer
2016-04-12.11:19:53 || doWriting | Received queue message: 1
2016-04-12.11:19:53 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.11:19:53 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: hola mundo
2016-04-12.11:19:53 || validate_message | Validating String
2016-04-12.11:19:53 || doWriting | Received queue message: hola mundo
2016-04-12.11:19:53 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.11:19:53 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: 1
2016-04-12.11:19:53 || validate_message | Validating Integer
2016-04-12.11:19:53 || doWriting | Received queue message: 1
2016-04-12.11:19:53 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.11:19:53 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: hola mundo
2016-04-12.11:19:53 || validate_message | Validating String
2016-04-12.11:19:53 || doWriting | Received queue message: hola mundo
2016-04-12.11:19:53 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.11:19:53 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.11:19:53 || processMessages | Processing input queue message: 1
2016-04-12.11:19:53 || validate_message | Validating Integer
2016-04-12.11:19:53 || doWriting | Received queue message: 1
2016-04-12.11:19:53 || doReading | Client send this message: 024Mensaje2  shola mundo
